epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.5681,2.00723,4.22992,2.10789,0.00314,0.94286,0.21795,0.15404,2.46776,4.05442,2.64192,0.000648148,0.000648148,0.000648148
2,132.706,1.10488,2.70777,1.26082,0.85985,0.88571,0.90505,0.693,0.88838,1.9143,1.04872,0.00118465,0.00118465,0.00118465
3,200.315,0.73743,1.97302,0.99474,1,0.91155,0.94184,0.85675,0.58936,1.21724,0.84484,0.00158915,0.00158915,0.00158915
4,267.328,0.6715,1.57504,0.93362,1,0.93883,0.96358,0.83838,0.68335,1.18129,0.85431,0.001406,0.001406,0.001406
5,334.885,0.60895,1.427,0.90871,0.99754,0.94286,0.95094,0.87967,0.53936,0.95626,0.82173,0.001208,0.001208,0.001208
6,401.546,0.54542,1.28119,0.8745,0.99708,0.94286,0.98641,0.90788,0.52098,0.83872,0.81081,0.00101,0.00101,0.00101
7,467.837,0.50852,1.18355,0.86862,1,0.96928,0.995,0.92001,0.46143,0.79264,0.80659,0.000812,0.000812,0.000812
8,533.825,0.48733,1.10527,0.85947,0.99773,0.94286,0.99175,0.93033,0.42221,0.73095,0.78472,0.000614,0.000614,0.000614
9,599.812,0.4683,1.03684,0.85295,0.99951,1,0.995,0.92508,0.43489,0.70314,0.78144,0.000416,0.000416,0.000416
10,666.229,0.44248,1.02334,0.83209,0.99443,1,0.995,0.93112,0.43201,0.69694,0.779,0.000218,0.000218,0.000218
